product_id,category,discounted_price,actual_price,discount_percentage,rating,rating_count,Sales_volume,revenue,discount_effectiveness,inventory_performance,NormalizedSalesVolume,NormalizedRevenue,NormalizedInventoryPerformance
B002PD61Y4,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,0.58,4.1,8131,33337.098,1.69E+07,0.5802980132,170019.2,0.01774494683,0.00,0.02
B002PD61Y4,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,0.58,4.1,8131,33337.098,1.69E+07,0.5802980132,170019.2,0.01774494683,0.00,0.02
B002SZEOLG,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,749,1339,0.44,4.2,179692,754706.4,5.65E+08,0.4406273338,3924473,0.4017213777,0.05,0.39
B003B00484,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,399,499,0.2,4.3,27201,116964.305,4.67E+07,0.2004008016,619910.9,0.06225872969,0.00,0.06
B003L62T7W,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",279,375,0.26,4.3,31534,135596.2,3.78E+07,0.256,718659.9,0.07217626918,0.00,0.07
B004IO5BMQ,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",699,995,0.3,4.5,54405,244822.5,1.71E+08,0.2974874372,1346523.8,0.1303161494,0.02,0.13
B005FYNT3G,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,289,650,0.56,4.3,253105,1088351.5,3.15E+08,0.5553846154,5768263,0.5793167569,0.03,0.57
B005LJQMCK,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",416,599,0.31,4.2,30023,126096.59,5.25E+07,0.305509182,655702.25,0.06711973804,0.00,0.06
B005LJQMZC,"Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486,1999,0.76,4.2,30023,126096.59,6.13E+07,0.7568784392,655702.25,0.06711973804,0.01,0.06
B006LW0WDQ,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399,795,0.5,4.4,12091,53200.402,2.12E+07,0.4981132075,287282.2,0.02831795091,0.00,0.03
B0073QGKAS,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,1499,1499,0,4.3,9331,40123.3,6.01E+07,0,212653.5,0.02135716267,0.01,0.02
B0083T231O,Electronics|PowerAccessories|SurgeProtectors,1289,1499,0.14,4.5,20668,93006,1.20E+08,0.1400933956,511533,0.04950600453,0.01,0.05
B0085IATT6,Computers&Accessories|NetworkingDevices|Routers,899,1800,0.5,4.1,22375,91737.5,8.25E+07,0.5005555556,467861.25,0.04883079684,0.01,0.05
B0085W2MUQ,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,765,970,0.21,4.2,6055,25430.998,1.95E+07,0.2113402062,132241.19,0.01353662239,0.00,0.01
B0088TKTY2,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,649,1399,0.54,4.2,179691,754702.2,4.90E+08,0.5360972123,3924451.2,0.4017191421,0.04,0.39
B008FWZGSG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355,1526.5001,914373.56,0,8090.4507,8.13E-04,0.00,0.00
B008FWZGSG,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355,1526.5001,914373.56,0,8090.4507,8.13E-04,0.00,0.00
B008IFXQFU,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,499,999,0.5,4.2,179691,754702.2,3.77E+08,0.5005005005,3924451.2,0.4017191421,0.03,0.39
B008LN8KDM,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1849,2095,0.12,4.3,7681,33028.3,6.11E+07,0.1174224344,175050,0.01758057727,0.01,0.02
B008P7IF02,"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|EspressoMachines",4799,5795,0.17,3.9,3815,14878.5,7.14E+07,0.1718723037,72904.65,0.007919651296,0.01,0.01
B008QS9J6Y,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,1990,2595,0.23,4.3,20398,87711.41,1.75E+08,0.2331406551,464870.47,0.04668775628,0.02,0.05
B008QTK47Q,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",1614,1745,0.08,4.3,37974,163288.2,2.64E+08,0.07507163324,865427.5,0.08691639646,0.02,0.09
B008YW3CYM,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",616,1190,0.48,4.1,37126,152216.6,9.38E+07,0.4823529412,776304.6,0.08102311345,0.01,0.08
B008YW8M0G,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",775,875,0.11,4.2,46647,195917.39,1.52E+08,0.1142857143,1018770.4,0.1042845321,0.01,0.10
B00935MD1C,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2719,3945,0.31,3.7,13406,49602.2,1.35E+08,0.3107731305,233130.34,0.02640267013,0.01,0.02
B00935MGHS,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,1199,1795,0.33,4.2,5967,25061.398,3.00E+07,0.3320334262,130319.266,0.01333988864,0.00,0.01
B009DA69W6,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,1699,1900,0.11,3.6,11456,41241.598,7.01E+07,0.1057894737,189711.34,0.0219524196,0.01,0.02
B009LJ2BXA,Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCHeadsets,649,999,0.35,3.5,7222,25277,1.64E+07,0.3503503504,113746.5,0.01345465106,0.00,0.01
B009P2L7CO,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",1099,1920,0.43,4.2,9772,41042.4,4.51E+07,0.4276041667,213420.47,0.02184638884,0.00,0.02
B009P2LIL4,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2219,3080,0.28,3.6,468,1684.7999,3738571,0.2795454545,7750.079,8.97E-04,0.00,0.00
B009P2LITG,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",2169,3279,0.34,4.1,1716,7035.5996,1.53E+07,0.3385178408,35881.56,0.003744967267,0.00,0.00
B009P2LK08,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",749,1129,0.34,4,2446,9784,7328216,0.3365810452,48920,0.005207908612,0.00,0.00
B009P2LK80,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HalogenHeaters",1409,1639,0.14,3.7,787,2911.9001,4102867.2,0.1403294692,13685.931,0.00154997032,0.00,0.00
B009UORDX4,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",949,975,0.03,4.3,7223,31058.902,2.95E+07,0.02666666667,164612.19,0.01653228978,0.00,0.02
B009VCGPSY,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",269,649,0.59,4.3,54315,233554.52,6.28E+07,0.5855161787,1237838.9,0.1243183356,0.01,0.12
B00A0VCJPI,Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1469,2499,0.41,4.2,156638,657879.56,9.66E+08,0.4121648659,3420973.5,0.3501815848,0.09,0.34
B00A328ENA,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Rice&PastaCookers,2976,3945,0.25,4.2,3740,15707.999,4.67E+07,0.2456273764,81681.59,0.008361183899,0.00,0.01
B00A7PLVU6,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,753,899,0.16,4.2,18462,77540.4,5.84E+07,0.1624026696,403210.06,0.04127384678,0.01,0.04
B00ABMASXG,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",539,720,0.25,4.1,36017,147669.7,7.96E+07,0.2513888889,753115.44,0.07860285183,0.01,0.07
B00AXHBBXU,OfficeProducts|OfficeElectronics|Calculators|Scientific,522,550,0.05,4.4,12179,53587.6,2.80E+07,0.05090909091,289373.06,0.02852405187,0.00,0.03
B00B3VFJY2,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,980,980,0,4.2,4740,19908,1.95E+07,0,103521.59,0.01059679524,0.00,0.01
B00B7GKXMG,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",699,850,0.18,4.1,1106,4534.6,3169685.5,0.1776470588,23126.459,0.002413714472,0.00,0.00
B00BN5SNF0,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,250,250,0,3.9,13971,54486.902,1.36E+07,0,266985.84,0.02900273979,0.00,0.03
B00C3GBCIS,Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Bags&Sleeves|LaptopSleeves&Slipcases,249,499,0.5,4.2,22860,96011.99,2.39E+07,0.501002004,499262.34,0.0511060578,0.00,0.05
B00CEQEGPI,"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MouseSets",1345,2295,0.41,4.2,17413,73134.59,9.84E+07,0.4139433551,380299.88,0.03892868572,0.01,0.04
B00DJ5N9VK,Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,150,150,0,4.3,15867,68228.1,1.02E+07,0,361608.94,0.03631701856,0.00,0.04
B00E3DVQFS,Electronics|GeneralPurposeBatteries&BatteryChargers|DisposableBatteries,879,1109,0.21,4.4,31599,139035.61,1.22E+08,0.2073940487,750792.3,0.07400702684,0.01,0.07
B00E9G8KOY,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,600,600,0,4.1,10907,44718.7,2.68E+07,0,228065.36,0.02380324027,0.00,0.02
B00EDJJ7FS,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|InductionCooktop,3229,5295,0.39,4.2,39724,166840.8,5.39E+08,0.3901794145,867572.1,0.08880740383,0.05,0.09
B00EYW1U68,Computers&Accessories|NetworkingDevices|Repeaters&Extenders,1599,3599,0.56,4.2,16182,67964.4,1.09E+08,0.5557099194,353414.84,0.03617665413,0.01,0.03
B00F159RIK,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|DryIrons",499,625,0.2,4.2,5355,22490.998,1.12E+07,0.2016,116953.19,0.01197169483,0.00,0.01
B00GE55L22,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,699,0.57,4.1,2957,12123.7,3624986.2,0.5722460658,61830.87,0.00645330352,0.00,0.01
B00GG59HU2,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",467,599,0.22,4.4,44054,193837.61,9.05E+07,0.2203672788,1046723.1,0.1031774896,0.01,0.10
B00GGGOYEK,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,259,699,0.63,3.8,2399,9116.2,2361095.8,0.6294706724,43757.76,0.004852446493,0.00,0.00
B00GGGOYEU,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,299,699,0.57,3.9,1454,5670.6,1695509.4,0.5722460658,27785.941,0.003018393967,0.00,0.00
B00GHL8VP2,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",3487.77,4990,0.3,4.1,1127,4620.6997,1.61E+07,0.3010480923,23565.568,0.002459544334,0.00,0.00
B00GZLB57U,Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|EthernetCables,238,699,0.66,4.4,8372,36836.8,8767159,0.6595135908,198918.73,0.01960779721,0.00,0.02
B00H0B29DI,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|HeatConvectors",2199,2990,0.26,3.8,1558,5920.4,1.30E+07,0.264548495,28417.92,0.003151359581,0.00,0.00
B00H3H03Q4,Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,1130,1130,0,4.2,13250,55649.996,6.29E+07,0,289380,0.02962184111,0.01,0.03
B00H47GVGY,"Home&Kitchen|Heating,Cooling&AirQuality|RoomHeaters|ElectricHeaters",1199,1695,0.29,3.6,13300,47880,5.74E+07,0.2926253687,220248,0.02548596324,0.01,0.02
B00HVXS7WC,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,1999,3210,0.38,4.2,41349,173665.8,3.47E+08,0.377258567,903062.1,0.0924402714,0.03,0.09
B00HZIOGXW,"Home&Kitchen|Heating,Cooling&AirQuality|WaterHeaters&Geysers|ImmersionRods",610,825,0.26,4.1,13165,53976.5,3.29E+07,0.2606060606,275280.16,0.02873105879,0.00,0.03
B00J4YG0PC,"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",561,720,0.22,4.4,3182,14000.801,7854449,0.2208333333,75604.33,0.007452462398,0.00,0.01
B00J5DYCCA,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1399,1890,0.26,4,8031,32124,4.49E+07,0.2597883598,160620,0.01709922897,0.00,0.02
B00JBNZPFM,"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",6199,10999,0.44,4.2,10429,43801.797,2.72E+08,0.4364033094,227769.34,0.02331518354,0.02,0.02
B00K32PEW4,OfficeProducts|OfficeElectronics|Calculators|Financial&Business,535,535,0,4.4,4426,19474.4,1.04E+07,0,105161.766,0.01036599504,0.00,0.01
B00K57MR22,Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|MixerGrinders,6120,8478,0.28,4.6,6550,30130,1.84E+08,0.2781316348,168728,0.01603784612,0.02,0.02
B00KIDSU8S,"Home&Kitchen|Heating,Cooling&AirQuality|Fans|ExhaustFans",1999,2360,0.15,4.2,7801,32764.2,6.55E+07,0.1529661017,170373.83,0.01743999993,0.01,0.02
B00KIE28X0,Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,310,310,0,4.5,5882,26469,8205390,0,145579.5,0.0140891387,0.00,0.01
