product_id,product_name,category,discounted_price,actual_price,discount_percentage,rating,rating_count,SalesVolume,Revenue,Discount_effectiveness,Inventory_performance_score,,,,,,
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,0.58,4.1,8131,33337.098,"16,901,908.00",0.5802980132,170019.2,,,,,,
B002PD61Y4,D-Link DWA-131 300 Mbps Wireless Nano USB Adapter (Black),Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,507,1208,0.58,4.1,8131,33337.098,"16,901,908.00",0.5802980132,170019.2,,,,,,
B002SZEOLG,"TP-Link Nano USB WiFi Dongle 150Mbps High Gain Wireless Network Wi-Fi Adapter for PC Desktop and Laptops, Supports Windows 10/8.1/8/7/XP, Linux, Mac OS X (TL-WN722N)",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,749,1339,0.44,4.2,179692,754706.4,"565,275,070.00",0.4406273338,3924473,,,,,,
B003B00484,Duracell Plus AAA Rechargeable Batteries (750 mAh) Pack of 4,Electronics|GeneralPurposeBatteries&BatteryChargers|RechargeableBatteries,399,499,0.2,4.3,27201,116964.305,"46,668,756.00",0.2004008016,619910.9,,,,,,
B003L62T7W,"Logitech B100 Wired USB Mouse, 3 yr Warranty, 800 DPI Optical Tracking, Ambidextrous PC/Mac/Laptop - Black","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",279,375,0.26,4.3,31534,135596.2,"37,831,340.00",0.256,718659.9,,,,,,
B004IO5BMQ,"Logitech M235 Wireless Mouse, 1000 DPI Optical Tracking, 12 Month Life Battery, Compatible with Windows, Mac, Chromebook/PC/Laptop","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",699,995,0.3,4.5,54405,244822.5,"171,130,928.00",0.2974874372,1346523.8,,,,,,
B005FYNT3G,SanDisk Cruzer Blade 32GB USB Flash Drive,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,289,650,0.56,4.3,253105,1088351.5,"314,533,568.00",0.5553846154,5768263,,,,,,
B005LJQMCK,"BlueRigger Digital Optical Audio Toslink Cable (3.3 Feet / 1 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",416,599,0.31,4.2,30023,126096.59,"52,456,184.00",0.305509182,655702.25,,,,,,
B005LJQMZC,"BlueRigger Digital Optical Audio Toslink Cable (6 Feet / 1.8 Meter) With 8 Channel (7.1) Audio Support (for Home Theatre, Xbox, Playstation etc.)","Electronics|HomeTheater,TV&Video|Accessories|Cables|OpticalCables",486,1999,0.76,4.2,30023,126096.59,"61,282,944.00",0.7568784392,655702.25,,,,,,
B006LW0WDQ,Amazon Basics 16-Gauge Speaker Wire - 50 Feet,"Electronics|HomeTheater,TV&Video|Accessories|Cables|SpeakerCables",399,795,0.5,4.4,12091,53200.402,"21,226,960.00",0.4981132075,287282.2,,,,,,
B0073QGKAS,Bajaj ATX 4 750-Watt Pop-up Toaster (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Pop-upToasters,1499,1499,0,4.3,9331,40123.3,"60,144,828.00",0,212653.5,,,,,,
B0083T231O,Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),Electronics|PowerAccessories|SurgeProtectors,1289,1499,0.14,4.5,20668,93006,"119,884,736.00",0.1400933956,511533,,,,,,
B0085IATT6,"D-Link DIR-615 Wi-fi Ethernet-N300 Single_band 300Mbps Router, Mobile App Support, Router | AP | Repeater | Client Modes(Black)",Computers&Accessories|NetworkingDevices|Routers,899,1800,0.5,4.1,22375,91737.5,"82,472,016.00",0.5005555556,467861.25,,,,,,
B0085W2MUQ,Orpat HHB-100E 250-Watt Hand Blender (White),Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,765,970,0.21,4.2,6055,25430.998,"19,454,714.00",0.2113402062,132241.19,,,,,,
B0088TKTY2,"TP-LINK WiFi Dongle 300 Mbps Mini Wireless Network USB Wi-Fi Adapter for PC Desktop Laptop(Supports Windows 11/10/8.1/8/7/XP, Mac OS 10.9-10.15 and Linux, WPS, Soft AP Mode, USB 2.0) (TL-WN823N),Black",Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,649,1399,0.54,4.2,179691,754702.2,"489,801,728.00",0.5360972123,3924451.2,,,,,,
B008FWZGSG,"Samsung Original Type C to C Cable - 3.28 Feet (1 Meter), White",Computers&Accessories|Accessories&Peripherals|Cables&Accessories|Cables|USBCables,599,599,0,4.3,355,1526.5001,"914,373.56",0,8090.4507,,,,,,
