category,RatingRange,ProductCount,AvgNormalizedSalesVolume,AvgNormalizedRevenue,AvgNormalizedInventoryPerformance,AvgDiscountPercentage
"Electronics|Headphones,Earbuds&Accessories|Cases",High Ratings (4.1-5.0),1,0.03440583746,7.03E-04,0.03376869256,0.76
Computers&Accessories|NetworkingDevices|NetworkAdapters|PowerLANAdapters,High Ratings (4.1-5.0),1,0.0537025654,0.0110614703,0.05469705454,0.4
Computers&Accessories|Accessories&Peripherals|TabletAccessories|ScreenProtectors,Medium Ratings (2.1-4.0),1,0.001471244829,1.01E-04,0.00136226366,0.73
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DigitalKitchenScales,High Ratings (4.1-5.0),5,0.009882028308,0.001594507195,0.009634235342,0.48
OfficeProducts|OfficeElectronics|Calculators|Basic,High Ratings (4.1-5.0),1,0.02062350973,0.001558884313,0.0210054255,0
Electronics|Mobiles&Accessories|MobileAccessories|Cases&Covers|BasicCases,High Ratings (4.1-5.0),3,0.004455199619,5.62E-04,0.004336180977,0.6433333333
Computers&Accessories|Tablets,High Ratings (4.1-5.0),1,0.007066446399,0.03277535148,0.00732816626,0.29
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",Medium Ratings (2.1-4.0),6,0.005956811619,0.001802039796,0.005500267186,0.3883333333
"Electronics|HomeTheater,TV&Video|Televisions|SmartTelevisions",High Ratings (4.1-5.0),57,0.02957699565,0.1173310458,0.0286739657,0.3687719298
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",High Ratings (4.1-5.0),14,0.003125718489,3.75E-04,0.002999861459,0.4614285714
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|Webcams&VoIPEquipment|Webcams,High Ratings (4.1-5.0),2,0.03532078992,0.01186910803,0.03422310951,0.445
Computers&Accessories|Accessories&Peripherals|LaptopAccessories,High Ratings (4.1-5.0),1,0.02534661176,0.006091668685,0.02487722919,0.44
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits",High Ratings (4.1-5.0),1,0.003128843787,2.95E-04,0.003070902275,0.73
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,Medium Ratings (2.1-4.0),1,0.007799087999,0.001204487083,0.007221377406,0.53
Computers&Accessories|NetworkingDevices,High Ratings (4.1-5.0),1,0.02556878623,0.005266570653,0.02414829689,0.66
Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,Medium Ratings (2.1-4.0),3,0.01494076448,1.14E-04,0.01295960225,0
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,High Ratings (4.1-5.0),6,0.01898192473,0.003578237926,0.01861196251,0.5416666667
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|TripodLegs,Medium Ratings (2.1-4.0),1,0.04436665731,0.003041082835,0.04025863098,0.6
Electronics|Cameras&Photography|Flashes|Macro&RinglightFlashes,Medium Ratings (2.1-4.0),1,0.02621008823,0.003597608504,0.02329785304,0.6
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|VacuumSealers,High Ratings (4.1-5.0),2,0.0253371341,4.29E-04,0.02465091772,0.23
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,High Ratings (4.1-5.0),1,0.01036599504,9.53E-04,0.0103659951,0
"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",Medium Ratings (2.1-4.0),3,0.01451422484,6.96E-04,0.01263949296,0.46
Electronics|Mobiles&Accessories|MobileAccessories|Stands,Medium Ratings (2.1-4.0),2,0.005499176763,2.62E-04,0.005084449011,0.685
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|SandwichMakers,High Ratings (4.1-5.0),7,0.01906683947,0.004983599946,0.01837147958,0.3214285714
"Electronics|HomeTheater,TV&Video|Accessories|TVMounts,Stands&Turntables|TVWall&CeilingMounts",Medium Ratings (2.1-4.0),3,0.002154986807,1.21E-04,0.001910381188,0.65
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|DeepFatFryers|AirFryers,High Ratings (4.1-5.0),5,0.005931863474,0.006807859203,0.006107972598,0.44
"Electronics|HomeTheater,TV&Video|Accessories|Cables|RCACables",High Ratings (4.1-5.0),2,0.08623347591,0.007202834694,0.08605561634,0.505
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks,High Ratings (4.1-5.0),3,0.01099175315,0.001213521732,0.01041812982,0.5566666667
Electronics|GeneralPurposeBatteries&BatteryChargers,High Ratings (4.1-5.0),4,0.03125664961,0.004532965354,0.03125150803,0.235
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers,Medium Ratings (2.1-4.0),1,0.005819879924,4.99E-04,0.004418797701,0.77
"Electronics|Headphones,Earbuds&Accessories|Earpads",Medium Ratings (2.1-4.0),1,0.001201481124,2.04E-05,0.001067983167,0.9
Computers&Accessories|Accessories&Peripherals|Audio&VideoAccessories|PCSpeakers,High Ratings (4.1-5.0),1,0.01133747439,0.00126403665,0.01070761366,0.5
Computers&Accessories|Accessories&Peripherals|Adapters|USBtoUSBAdapters,High Ratings (4.1-5.0),1,0.01013040424,5.12E-04,0.009942804641,0.94
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,Medium Ratings (2.1-4.0),6,0.002390622031,2.17E-04,0.002189530156,0.5633333333
Home&Kitchen|CraftMaterials|Scrapbooking|Tape,Medium Ratings (2.1-4.0),1,0.03067801126,6.85E-04,0.02783745375,0.21
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",High Ratings (4.1-5.0),3,0.02382926841,0.02843613183,0.02346698888,0.29
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,Medium Ratings (2.1-4.0),1,0.005244848887,5.41E-04,0.004662087739,0.06
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",High Ratings (4.1-5.0),3,0.001118657056,9.51E-04,0.001087593097,0.4433333333
Electronics|Mobiles&Accessories|MobileAccessories|Stands,High Ratings (4.1-5.0),8,0.03660126786,0.001230916736,0.03633000708,0.78375
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|HandBlenders,Medium Ratings (2.1-4.0),7,0.003123893507,1.69E-04,0.002576189807,0.5842857143
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers,Medium Ratings (2.1-4.0),1,0.03331273023,0.001997258552,0.030845119,0.65
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",High Ratings (4.1-5.0),20,0.04478663085,0.004524496062,0.0447252427,0.4245
Computers&Accessories|Monitors,High Ratings (4.1-5.0),2,0.005253073273,0.007643981065,0.005114104072,0.505
Computers&Accessories|Accessories&Peripherals|LaptopAccessories|LaptopChargers&PowerSupplies,High Ratings (4.1-5.0),3,0.01296301221,0.001258680483,0.01251531175,0.5633333333
"Home&Kitchen|Kitchen&HomeAppliances|Coffee,Tea&Espresso|CoffeePresses",High Ratings (4.1-5.0),1,0.002550991621,4.82E-04,0.002598232074,0.27
Electronics|Accessories|MemoryCards|SecureDigitalCards,High Ratings (4.1-5.0),1,0.1629728343,0.01257072137,0.162972826,0.44
